ID,SubVehID,Choice,Gap,RelativeSpeed,TW,Predicted,Predicted_1,Predicted_2,,,,,,,
256,716,1,17,0,0,2,2,2,,0,0,0,,,
257,721,2,18,-1,0,2,2,2,,1,1,1,,,
258,725,2,17,0,0,2,2,2,,1,1,1,,,
259,725,2,16,0,0,2,2,2,,1,1,1,,,
260,725,1,19,0,0,2,2,2,,0,0,0,,,
261,725,2,16,0,0,2,2,2,,1,1,1,,,
262,728,1,16,-3,0,0,0,0,,0,0,0,,,
263,728,0,15,-2,0,0,0,0,,1,1,1,,,
264,728,2,18,2,0,2,2,2,,1,1,1,,,
265,730,2,19,2,0,2,2,2,,1,1,1,,,
266,730,2,18,0,0,2,2,2,,1,1,1,,,
267,730,1,17,0,0,2,2,2,,0,0,0,,,
268,738,2,18,0,0,2,2,2,,1,1,1,,,
269,738,2,18,0,0,2,2,2,,1,1,1,,,
270,744,0,18,0,1,2,2,2,,0,0,0,,,
271,744,2,17,0,1,2,2,2,,1,1,1,,,
272,744,0,18,1,1,2,2,2,,0,0,0,,,
273,744,2,19,1,1,2,2,2,,1,1,1,,,
274,744,2,18,2,1,2,2,2,,1,1,1,,,
275,744,2,18,1,1,2,2,2,,1,1,1,,,
276,744,2,17,0,1,2,2,2,,1,1,1,,,
277,744,0,17,0,0,2,2,2,,0,0,0,,,
278,746,2,19,0,0,2,2,2,,1,1,1,,,
279,746,0,18,0,0,2,2,2,,0,0,0,,,
280,752,2,16,-1,0,2,2,2,,1,1,1,,,
281,753,2,19,4,0,2,2,2,,1,1,1,,,
282,753,2,18,3,0,2,2,2,,1,1,1,,,
283,753,2,18,1,0,2,2,2,,1,1,1,,,
284,754,0,16,-4,0,0,0,0,,1,1,1,,,
285,756,0,15,0,1,0,0,0,,1,1,1,,,
286,756,2,16,1,0,2,2,2,,1,1,1,,,
287,758,2,16,3,1,2,2,2,,1,1,1,,,
288,758,2,19,0,0,2,2,2,,1,1,1,,,
289,758,2,17,2,0,2,2,2,,1,1,1,,,
290,758,2,16,1,0,2,2,2,,1,1,1,,,
291,758,2,18,0,0,2,2,2,,1,1,1,,,
292,766,2,18,0,0,2,2,2,,1,1,1,,,
293,771,2,18,0,0,2,2,2,,1,1,1,,,
294,771,0,15,-1,0,0,0,0,,1,1,1,,,
295,771,2,18,0,0,2,2,2,,1,1,1,,,
296,771,2,15,-1,0,0,0,0,,0,0,0,,,
297,773,2,17,3,1,2,2,2,,1,1,1,,,
298,773,2,16,-1,0,2,2,2,,1,1,1,,,
299,773,2,18,0,0,2,2,2,,1,1,1,,,
300,780,1,16,4,1,2,2,2,,0,0,0,,,
301,783,2,16,0,1,2,2,2,,1,1,1,,,
302,783,2,17,5,1,2,2,2,,1,1,1,,,
303,783,2,16,3,1,2,2,2,,1,1,1,,,
304,783,1,16,4,1,2,2,2,,0,0,0,,,
305,783,2,17,1,0,2,2,2,,1,1,1,,,
306,784,0,13,-1,0,0,0,0,,1,1,1,,,
307,788,2,16,3,1,2,2,2,,1,1,1,,,
308,788,2,16,0,1,2,2,2,,1,1,1,,,
309,788,0,15,-1,1,0,0,0,,1,1,1,,,
310,788,2,19,3,0,2,2,2,,1,1,1,,,
311,788,2,18,1,0,2,2,2,,1,1,1,,,
312,788,0,15,-2,0,0,0,0,,1,1,1,,,
313,788,2,17,0,0,2,2,2,,1,1,1,,,
314,804,2,12,5,1,2,2,2,,1,1,1,,,
315,818,0,13,-2,1,0,0,0,,1,1,1,,,
316,818,2,14,0,1,0,0,0,,0,0,0,,,
317,820,0,15,0,1,0,0,0,,1,1,1,,,
318,820,2,15,2,0,2,2,2,,1,1,1,,,
319,832,0,14,0,0,2,2,2,,0,0,0,,,
320,838,1,14,0,0,2,2,2,,0,0,0,,,
321,838,2,14,1,0,2,2,2,,1,1,1,,,
322,838,1,13,-1,0,0,0,0,,0,0,0,,,
323,841,2,14,0,1,0,0,0,,0,0,0,,,
324,846,2,18,0,0,2,2,2,,1,1,1,,,
325,846,0,16,1,0,2,2,2,,0,0,0,,,
326,846,2,15,0,0,2,2,2,,1,1,1,,,
327,848,1,15,0,0,2,2,2,,0,0,0,,,
328,848,2,14,-1,0,0,0,0,,0,0,0,,,
329,852,2,17,3,1,2,2,2,,1,1,1,,,
330,853,2,16,2,1,2,2,2,,1,1,1,,,
331,853,2,17,6,1,2,2,2,,1,1,1,,,
332,853,2,15,3,1,2,2,2,,1,1,1,,,
333,854,0,16,-1,1,0,0,0,,1,1,1,,,
334,860,2,18,0,0,2,2,2,,1,1,1,,,
335,860,2,17,1,0,2,2,2,,1,1,1,,,
336,860,2,17,2,0,2,2,2,,1,1,1,,,
337,865,1,17,0,0,2,2,2,,0,0,0,,,
338,865,2,17,0,0,2,2,2,,1,1,1,,,
339,865,2,15,0,0,2,2,2,,1,1,1,,,
340,865,0,17,0,0,2,2,2,,0,0,0,,,
341,867,2,17,0,0,2,2,2,,1,1,1,,,
342,867,0,16,0,0,2,2,2,,0,0,0,,,
343,870,2,17,0,0,2,2,2,,1,1,1,,,
344,881,1,16,-2,0,0,0,0,,0,0,0,,,
345,881,0,17,0,0,2,2,2,,0,0,0,,,
346,883,2,16,0,0,2,2,2,,1,1,1,,,
347,883,0,14,-1,0,0,0,0,,1,1,1,,,
348,883,2,15,0,0,2,2,2,,1,1,1,,,
349,891,2,18,4,1,2,2,2,,1,1,1,,,
350,891,2,19,7,1,2,2,2,,1,1,1,,,
351,892,2,17,0,1,2,2,2,,1,1,1,,,
352,893,0,16,3,1,2,2,2,,0,0,0,,,
353,894,2,17,1,1,2,2,2,,1,1,1,,,
354,894,0,17,0,1,2,2,2,,0,0,0,,,
355,894,1,17,0,1,2,2,2,,0,0,0,,,
356,894,2,17,0,1,2,2,2,,1,1,1,,,
357,894,2,17,0,1,2,2,2,,1,1,1,,,
358,894,2,16,0,0,2,2,2,,1,1,1,,,
359,899,2,14,2,1,2,2,2,,1,1,1,,,
360,899,1,15,1,1,2,2,2,,0,0,0,,,
361,899,0,14,1,1,2,2,2,,0,0,0,,,
362,899,2,17,0,0,2,2,2,,1,1,1,,,
363,899,2,18,2,0,2,2,2,,1,1,1,,,
364,900,0,13,0,1,0,0,0,,1,1,1,,,
365,900,2,16,0,1,2,2,2,,1,1,1,,,
366,900,1,13,1,1,0,0,0,,0,0,0,,,
367,914,0,14,-1,1,0,0,0,,1,1,1,,,
368,918,2,18,3,1,2,2,2,,1,1,1,,,
369,918,2,16,2,1,2,2,2,,1,1,1,,,
370,918,0,17,4,1,2,2,2,,0,0,0,,,
371,926,2,16,1,1,2,2,2,,1,1,1,,,
372,926,2,17,3,1,2,2,2,,1,1,1,,,
373,926,2,16,2,1,2,2,2,,1,1,1,,,
374,926,2,16,3,1,2,2,2,,1,1,1,,,
375,927,2,13,3,1,2,2,2,,1,1,1,,,
376,927,0,11,2,1,0,0,0,,1,1,1,,,
377,927,0,10,-6,0,0,0,0,,1,1,1,,,
378,927,0,12,-3,0,0,0,0,,1,1,1,,,
379,933,2,13,0,1,0,0,0,,0,0,0,,,
380,939,0,14,1,1,2,2,2,,0,0,0,,,
381,939,2,13,1,1,0,0,0,,0,0,0,,,
382,939,0,15,1,0,2,2,2,,0,0,0,,,
383,939,2,14,0,0,2,2,2,,1,1,1,,,
384,941,0,10,-2,1,0,0,0,,1,1,1,,,
385,941,0,13,0,0,0,0,0,,1,1,1,,,
386,947,0,12,-1,0,0,0,0,,1,1,1,,,
387,954,2,13,1,1,0,0,0,,0,0,0,,,
388,968,0,18,3,0,2,2,2,,0,0,0,,,
389,968,2,16,1,0,2,2,2,,1,1,1,,,
390,969,0,14,-1,1,0,0,0,,1,1,1,,,
391,969,0,13,-1,1,0,0,0,,1,1,1,,,
392,973,0,14,-3,0,0,0,0,,1,1,1,,,
393,975,2,16,-1,0,2,2,2,,1,1,1,,,
394,975,2,16,-1,0,2,2,2,,1,1,1,,,
395,975,0,17,0,0,2,2,2,,0,0,0,,,
396,975,2,17,0,0,2,2,2,,1,1,1,,,
397,975,1,16,-1,0,2,2,2,,0,0,0,,,
398,976,2,16,0,0,2,2,2,,1,1,1,,,
399,976,2,14,0,0,2,2,2,,1,1,1,,,
400,976,0,17,1,0,2,2,2,,0,0,0,,,
401,978,0,17,-7,1,0,0,0,,1,1,1,,,
402,978,0,17,-4,1,0,0,0,,1,1,1,,,
403,978,2,15,1,0,2,2,2,,1,1,1,,,
404,982,0,15,-1,1,0,0,0,,1,1,1,,,
405,982,0,15,0,1,0,0,0,,1,1,1,,,
