ID,SubVehID,Choice,Gap,RelativeSpeed,TW
463,1091,3,13.005,0.063,1
464,1099,1,15.232,0.063,0
465,1099,2,12.9625,0.27,0
466,1100,1,15.2745,-1.098,0
467,1100,1,14.2715,-1.89,0
468,1100,3,15.0365,-1.98,0
469,1100,3,13.991,1.854,0
470,1101,3,18.2835,2.529,0
471,1101,3,15.691,0.081,0
472,1115,1,17.731,2.286,1
473,1115,3,17.1445,4.329,0
474,1122,1,16.9065,-2.637,0
475,1123,1,16.4815,0.036,0
476,1124,2,14.8835,1.341,0
477,1125,3,17.51,1.881,0
478,1125,3,16.7365,0.531,0
479,1130,1,16.5495,-0.99,0
480,1133,1,17.3655,0.369,0
481,1149,3,14.688,-0.801,1
482,1149,3,16.405,2.619,1
483,1149,3,16.524,2.205,1
484,1149,3,16.2775,1.854,1
485,1149,3,14.62,2.484,1
486,1151,3,14.926,0.09,1
487,1151,2,14.8665,-0.108,1
488,1151,3,16.5835,1.35,1
489,1151,1,15.079,0.144,1
490,1154,3,15.844,-0.774,0
491,1154,2,15.1045,-0.567,0
492,1154,3,14.977,0.657,0
493,1157,3,19.72,5.571,0
494,1157,3,14.0845,1.251,0
495,1163,1,13.7445,-1.611,0
496,1163,3,15.181,-0.315,0
497,1167,1,16.218,-1.647,0
498,1167,3,18.1985,0.846,0
499,1171,3,15.13,3.645,1
500,1171,2,13.311,3.555,1
501,1171,3,14.654,4.059,1
502,1171,3,14.7645,2.988,1
503,1171,3,13.175,3.186,1
504,1171,2,13.0645,4.023,1
505,1172,3,16.4985,4.806,1
506,1172,1,15.6825,-2.916,0
507,1172,1,15.147,-1.125,0
508,1172,3,15.453,-2.421,0
509,1178,3,17.51,3.033,0
510,1186,1,17.7055,0.333,1
511,1186,3,17.0255,2.232,1
512,1186,3,15.4785,-0.513,1
513,1190,3,15.453,-0.351,0
514,1190,3,15.623,-0.657,0
515,1190,1,15.3595,-0.558,0
516,1193,3,18.054,3.879,1
517,1193,3,16.6345,2.484,1
518,1193,3,18.734,5.814,1
519,1193,3,17.255,0.45,0
520,1193,2,16.2095,-1.926,0
521,1193,3,16.9915,1.17,0
522,1193,3,16.9745,1.656,0
523,1201,3,14.688,1.503,1
524,1201,1,13.583,0.81,1
525,1201,1,9.248,-5.607,0
526,1225,3,18.309,9,1
527,1225,3,13.192,0.612,0
528,1228,3,20.5105,1.206,1
529,1228,1,16.15,0.675,1
530,1228,3,15.0365,1.512,1
531,1228,3,17.3315,6.48,1
532,1235,3,15.096,-1.314,1
533,1235,3,15.0705,1.404,1
534,1235,1,14.178,-4.482,0
535,1235,2,16.456,-2.556,0
536,1236,1,15.4615,0.522,0
537,1240,1,15.045,-1.935,0
538,1240,3,14.8665,-0.783,0
539,1240,3,15.3255,0.261,0
540,1241,3,17.986,2.286,0
541,1242,3,17.1955,0.117,1
542,1242,2,17.1615,-3.501,1
543,1242,3,17.969,2.97,1
544,1242,3,16.201,-4.599,1
545,1244,3,18.666,3.429,1
546,1245,3,15.4955,1.233,0
547,1245,3,15.4615,1.485,0
548,1249,3,16.932,0.387,1
549,1249,3,17.119,-0.324,0
550,1249,1,17.7735,-0.945,0
551,1249,3,16.558,0.045,0
552,1250,3,17.4335,0.666,0
553,1250,3,17.255,1.08,0
554,1251,3,17.1785,0.261,0
555,1251,3,17.2805,1.611,0
556,1276,3,15.997,-1.368,0
557,1277,1,12.801,0.54,0
558,1279,3,13.702,0.162,0
559,1279,1,15.13,-0.918,0
560,1284,1,17.204,-1.575,1
561,1284,1,14.042,-1.692,1
562,1284,1,14.127,-0.765,1
563,1287,1,14.569,-4.968,1
564,1287,1,14.7135,-3.132,1
565,1291,3,16.847,4.14,1
566,1291,3,15.2745,1.188,0
567,1292,1,14.6795,-0.207,1
568,1292,1,15.3,2.547,1
569,1292,1,13.838,0.081,1
570,1301,1,14.0505,-0.513,1
571,1301,3,13.583,1.611,1
572,1301,3,15.2065,1.8,1
573,1303,3,19.635,4.599,1
574,1303,1,17.5695,-3.942,0
575,1303,2,17.068,-0.927,0
576,1303,3,17.8585,1.116,0
577,1307,1,19.499,4.212,1
578,1307,1,16.915,3.78,1
579,1307,1,16.524,-1.449,0
580,1307,1,16.4475,-0.54,0
581,1308,3,20.366,4.473,1
582,1308,3,17.9775,1.098,1
583,1308,3,17.6035,2.367,1
584,1308,3,16.3625,0.099,1
585,1315,1,17.697,-0.567,0
586,1315,2,15.453,-2.268,0
587,1315,1,16.2605,-0.36,0
588,1315,3,17.986,2.763,0
589,1316,3,16.7535,-0.117,0
590,1319,1,15.623,-3.393,0
591,1324,3,16.7535,-0.378,0
592,1326,1,17.697,-0.837,1
593,1326,3,16.7195,0.711,1
594,1326,3,18.1645,2.484,1
595,1326,2,15.9545,-1.386,0
596,1339,3,21.3945,5.382,0
597,1339,1,15.8015,-1.665,0
598,1344,3,18.6915,1.881,0
599,1344,1,17.5525,-0.162,0
600,1355,1,15.3765,-3.438,0
601,1355,1,16.133,-2.097,0
602,1355,1,16.8725,-1.431,0
603,1355,1,14.6625,-1.71,0
604,1355,3,15.487,-4.482,0
605,1357,1,15.9035,-0.126,1
606,1357,3,17.9265,3.402,1
607,1357,3,16.4815,1.89,1
608,1357,3,15.81,-1.044,0
609,1361,3,15.2065,1.323,0
610,1363,3,17.6885,3.708,1
611,1363,3,15.3425,1.971,1
612,1364,1,14.4245,-3.33,0
613,1364,1,15.64,-0.072,0
614,1366,3,15.572,2.115,1
615,1366,3,15.113,1.323,1
616,1371,1,18.4365,3.618,0
617,1371,3,17.9775,2.898,0
618,1374,3,14.9855,0.009,0
619,1374,2,12.9285,-1.485,0
620,1377,3,19.89,2.511,0
621,1377,1,17.816,-1.197,0
622,1377,3,16.014,-1.242,0
623,1378,2,15.555,-0.765,0
624,1378,3,14.654,-0.864,0
625,1381,1,15.725,1.161,1
626,1381,3,16.6345,3.465,1
627,1381,3,15.759,3.717,1
628,1381,3,17.748,8.037,1
629,1395,1,16.4645,-0.225,1
630,1395,2,17.051,-0.918,1
631,1395,3,16.6515,-0.702,1
632,1395,1,16.337,-0.54,1
633,1395,1,13.141,-2.349,1
634,1395,1,14.637,1.719,1
635,1395,3,15.1215,1.584,1
636,1398,3,17.5355,1.827,1
637,1398,3,16.49,3.024,1
638,1398,3,14.7645,1.314,1
639,1421,3,16.711,1.512,0
640,1421,3,13.328,-0.837,0
641,1426,1,13.8975,-2.736,0
642,1426,1,13.6,-1.179,0
